reporting_airport,route,pax_current,pax_growth_pct
HUMBERSIDE,NORWICH,138,213.63636
HUMBERSIDE,STANSTED,33,0
HUMBERSIDE,TEESSIDE INTERNATIONAL AIRPORT,10,-86.84211
HUMBERSIDE,WARTON,20,0
INVERNESS,ABERDEEN,0,-100
INVERNESS,BELFAST CITY (GEORGE BEST),18243,-6.94246
INVERNESS,BENBECULA,4987,-14.76671
INVERNESS,BIRMINGHAM,18206,-5.19683
INVERNESS,BRISTOL,83629,21.34214
INVERNESS,EDINBURGH,52,0
INVERNESS,FARNBOROUGH,0,-100
INVERNESS,GATWICK,222505,2.86965
INVERNESS,GLASGOW,159,-19.69697
INVERNESS,HEATHROW,158717,20.4354
INVERNESS,KIRKWALL,1299,-29.85961
INVERNESS,LUTON,149898,28.94341
INVERNESS,MANCHESTER,27048,-23.69022
INVERNESS,NEWQUAY,0,-100
INVERNESS,NORWICH,0,-100
INVERNESS,STANSTED,132,0
INVERNESS,STORNOWAY,12180,-7.96433
INVERNESS,SUMBURGH,12538,-2.19206
ISLAY,CAMPBELTOWN,0,-100
ISLAY,COLONSAY,111,-4.31034
ISLAY,GLASGOW,28761,11.26543
ISLAY,OBAN (NORTH CONNEL),54,22.72727
ISLAY,TIREE,0,-100
ISLE OF MAN,BELFAST CITY (GEORGE BEST),9095,0
ISLE OF MAN,BELFAST INTERNATIONAL,19971,-9.2887
ISLE OF MAN,BIRMINGHAM,20141,-9.64515
ISLE OF MAN,BRISTOL,27072,-12.10104
ISLE OF MAN,EDINBURGH,11220,14.93546
ISLE OF MAN,FARNBOROUGH,0,-100
ISLE OF MAN,GATWICK,159823,6.55009
ISLE OF MAN,GUERNSEY,1013,260.49822
ISLE OF MAN,HEATHROW,33170,59.58624
ISLE OF MAN,LIVERPOOL (JOHN LENNON),171818,11.30704
ISLE OF MAN,LONDON CITY,18313,10.30599
ISLE OF MAN,LUTON,0,-100
ISLE OF MAN,MANCHESTER,119845,24.65286
ISLE OF MAN,NEWCASTLE,0,-100
ISLE OF MAN,TEESSIDE INTERNATIONAL AIRPORT,184,0
JERSEY,ALDERNEY,49,58.06452
JERSEY,BELFAST CITY (GEORGE BEST),1434,-33.24022
JERSEY,BELFAST INTERNATIONAL,18174,-7.12388
JERSEY,BIRMINGHAM,33338,-17.79356
JERSEY,BRISTOL,35732,-2.2514
JERSEY,CARDIFF WALES,0,-100
JERSEY,EAST MIDLANDS INTERNATIONAL,26945,-0.25912
JERSEY,EDINBURGH,17925,1107.07071
JERSEY,EXETER,28418,-3.58282
JERSEY,FARNBOROUGH,0,-100
JERSEY,GATWICK,342540,15.29956
JERSEY,GLASGOW,51018,2.39438
JERSEY,GUERNSEY,77257,6.57314
JERSEY,HEATHROW,335638,5.93564
JERSEY,HUMBERSIDE,1971,-8.83441
JERSEY,ISLE OF MAN,500,0
JERSEY,LEEDS BRADFORD,13248,-6.19557
JERSEY,LIVERPOOL (JOHN LENNON),118671,16.5704
JERSEY,LONDON CITY,3179,-21.13619
JERSEY,LUTON,101331,30.81044
JERSEY,MANCHESTER,87909,8.64095
JERSEY,NEWCASTLE,5501,-9.99673
JERSEY,NORWICH,3939,-8.09613
JERSEY,SOUTHAMPTON,99895,0.18956
JERSEY,STANSTED,3654,-38.84519
JERSEY,TEESSIDE INTERNATIONAL AIRPORT,2350,-1.05263
KIRKWALL,ABERDEEN,42821,4.56133
KIRKWALL,DUNDEE,209,0
KIRKWALL,EDAY,523,73.17881
KIRKWALL,EDINBURGH,38277,15.57414
KIRKWALL,GLASGOW,17340,9.65661
KIRKWALL,HEATHROW,2600,0
KIRKWALL,INVERNESS,5251,-9.02633
KIRKWALL,LONDON CITY,231,0
KIRKWALL,NORTH RONALDSAY,5903,6.72573
KIRKWALL,PAPA WESTRAY,4691,2.08923
KIRKWALL,SANDAY,3211,6.96203
KIRKWALL,STRONSAY,3033,1.26878
KIRKWALL,SUMBURGH,6171,-20.13718
KIRKWALL,WESTRAY,3368,4.72637
LEEDS BRADFORD,BELFAST CITY (GEORGE BEST),113169,19.46353
LEEDS BRADFORD,BELFAST INTERNATIONAL,41080,36.69184
LEEDS BRADFORD,BIRMINGHAM,0,-100
LEEDS BRADFORD,BOURNEMOUTH,191,0
LEEDS BRADFORD,CARDIFF WALES,101,50.74627
LEEDS BRADFORD,EDINBURGH,52,-31.57895
LEEDS BRADFORD,GUERNSEY,4082,9.34905
LEEDS BRADFORD,HEATHROW,0,-100
LEEDS BRADFORD,JERSEY,11922,-15.13383
LEEDS BRADFORD,LUTON,42,0
LEEDS BRADFORD,NEWCASTLE,0,-100
LEEDS BRADFORD,NEWQUAY,0,-100
LEEDS BRADFORD,NORWICH,68,0
LEEDS BRADFORD,SOUTHAMPTON,0,-100
LEEDS BRADFORD,STANSTED,47,0
LERWICK (TINGWALL),FAIR ISLE,1910,1.00476
